,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,01/02/21,601,10135.0,10135.0,10000.0,10025.0,40
1,01/02/21,602,10148.0,10150.0,10148.0,10150.0,14
2,01/02/21,603,10150.0,10190.0,10150.0,10190.0,33
3,01/02/21,604,10151.0,10197.0,10151.0,10189.0,46
4,01/02/21,605,10197.0,10198.0,10197.0,10198.0,48
5,01/02/21,606,10198.0,10198.0,10197.0,10198.0,53
6,01/02/21,607,10197.0,10198.0,10197.0,10197.0,10
7,01/02/21,608,10198.0,10198.0,10197.0,10198.0,35
8,01/02/21,609,10198.0,10198.0,10198.0,10198.0,59
9,01/02/21,610,10198.0,10198.0,10197.0,10197.0,4
10,01/02/21,611,10198.0,10198.0,10198.0,10198.0,36
11,01/02/21,612,10198.0,10198.0,10198.0,10198.0,15
12,01/02/21,613,10197.0,10210.0,10197.0,10210.0,72
13,01/02/21,614,10210.0,10299.0,10210.0,10248.0,5
14,01/02/21,615,10249.0,10260.0,10249.0,10260.0,16
15,01/02/21,616,10260.0,10300.0,10260.0,10300.0,13
16,01/02/21,617,10295.0,10295.0,10248.0,10248.0,27
17,01/02/21,618,10246.0,10248.0,10246.0,10246.0,110
18,01/02/21,619,10247.0,10248.0,10247.0,10248.0,8
19,01/02/21,620,10248.0,10248.0,10248.0,10248.0,8
20,01/02/21,621,10247.0,10247.0,10247.0,10247.0,52
21,01/02/21,622,10247.0,10247.0,10240.0,10240.0,5
22,01/02/21,623,10236.0,10236.0,10235.0,10235.0,56
23,01/02/21,624,10220.0,10234.0,10218.0,10233.0,15
24,01/02/21,625,10233.0,10233.0,10233.0,10233.0,22
25,01/02/21,626,10226.0,10233.0,10226.0,10232.0,6
26,01/02/21,627,10231.0,10231.0,10197.0,10197.0,59
27,01/02/21,628,10197.0,10197.0,10195.0,10195.0,10
28,01/02/21,629,10195.0,10195.0,10195.0,10195.0,2
29,01/02/21,630,10190.0,10197.0,10190.0,10195.0,11
30,01/02/21,631,10195.0,10197.0,10195.0,10197.0,25
31,01/02/21,632,10196.0,10196.0,10194.0,10195.0,29
32,01/02/21,633,10195.0,10195.0,10194.0,10194.0,12
33,01/02/21,634,10195.0,10197.0,10195.0,10197.0,36
34,01/02/21,635,10215.0,10227.0,10215.0,10227.0,2
35,01/02/21,636,10227.0,10227.0,10190.0,10191.0,65
36,01/02/21,637,10217.0,10217.0,10217.0,10217.0,2
37,01/02/21,638,10228.0,10229.0,10228.0,10229.0,2
38,01/02/21,640,10228.0,10229.0,10228.0,10229.0,26
39,01/02/21,642,10229.0,10229.0,10218.0,10218.0,66
40,01/02/21,643,10218.0,10228.0,10218.0,10228.0,42
41,01/02/21,644,10219.0,10228.0,10218.0,10228.0,48
42,01/02/21,645,10228.0,10228.0,10218.0,10218.0,11
43,01/02/21,646,10227.0,10228.0,10218.0,10218.0,89
44,01/02/21,647,10218.0,10218.0,10218.0,10218.0,79
45,01/02/21,648,10218.0,10229.0,10218.0,10229.0,21
46,01/02/21,649,10228.0,10229.0,10219.0,10229.0,5
47,01/02/21,650,10229.0,10229.0,10229.0,10229.0,2
48,01/02/21,651,10229.0,10229.0,10219.0,10219.0,7
49,01/02/21,652,10219.0,10219.0,10219.0,10219.0,2
50,01/02/21,653,10222.0,10222.0,10222.0,10222.0,3
51,01/02/21,654,10222.0,10222.0,10219.0,10219.0,13
52,01/02/21,655,10219.0,10219.0,10219.0,10219.0,1
53,01/02/21,657,10220.0,10220.0,10219.0,10219.0,100
54,01/02/21,658,10222.0,10229.0,10222.0,10229.0,4
55,01/02/21,659,10229.0,10229.0,10229.0,10229.0,7
56,01/02/21,660,10228.0,10229.0,10228.0,10228.0,8
57,01/02/21,661,10228.0,10229.0,10228.0,10229.0,6
58,01/02/21,662,10229.0,10229.0,10229.0,10229.0,20
59,01/02/21,663,10228.0,10229.0,10228.0,10229.0,6
60,01/02/21,664,10229.0,10229.0,10229.0,10229.0,10
61,01/02/21,665,10229.0,10229.0,10218.0,10218.0,51
62,01/02/21,666,10228.0,10229.0,10228.0,10229.0,30
63,01/02/21,667,10219.0,10219.0,10218.0,10218.0,5
64,01/02/21,668,10218.0,10220.0,10218.0,10220.0,2
65,01/02/21,669,10228.0,10228.0,10228.0,10228.0,1
66,01/02/21,670,10227.0,10227.0,10227.0,10227.0,2
67,01/02/21,671,10229.0,10229.0,10227.0,10227.0,36
68,01/02/21,672,10227.0,10227.0,10227.0,10227.0,1
69,01/02/21,673,10227.0,10227.0,10227.0,10227.0,3
70,01/02/21,674,10227.0,10227.0,10227.0,10227.0,1
71,01/02/21,675,10227.0,10227.0,10227.0,10227.0,2
72,01/02/21,676,10229.0,10229.0,10229.0,10229.0,5
73,01/02/21,677,10229.0,10229.0,10229.0,10229.0,18
74,01/02/21,678,10229.0,10229.0,10229.0,10229.0,3
75,01/02/21,679,10229.0,10229.0,10228.0,10228.0,4
76,01/02/21,681,10229.0,10232.0,10228.0,10228.0,8
77,01/02/21,682,10228.0,10228.0,10228.0,10228.0,3
78,01/02/21,684,10231.0,10231.0,10231.0,10231.0,1
79,01/02/21,685,10231.0,10232.0,10231.0,10232.0,4
80,01/02/21,686,10232.0,10232.0,10190.0,10221.0,131
81,01/02/21,687,10230.0,10230.0,10221.0,10221.0,2
82,01/02/21,688,10221.0,10221.0,10221.0,10221.0,10
83,01/02/21,689,10221.0,10221.0,10221.0,10221.0,4
84,01/02/21,690,10208.0,10216.0,10208.0,10216.0,3
85,01/02/21,691,10216.0,10217.0,10216.0,10217.0,4
86,01/02/21,692,10216.0,10216.0,10216.0,10216.0,2
87,01/02/21,694,10213.0,10213.0,10211.0,10211.0,6
88,01/02/21,697,10211.0,10211.0,10200.0,10200.0,16
89,01/02/21,698,10191.0,10192.0,10191.0,10192.0,2
90,01/02/21,699,10191.0,10191.0,10190.0,10190.0,12
91,01/02/21,700,10190.0,10190.0,10190.0,10190.0,2
92,01/02/21,701,10189.0,10189.0,10188.0,10188.0,2
93,01/02/21,702,10188.0,10188.0,10188.0,10188.0,5
94,01/02/21,703,10188.0,10188.0,10188.0,10188.0,4
95,01/02/21,704,10188.0,10188.0,10188.0,10188.0,2
96,01/02/21,705,10188.0,10188.0,10188.0,10188.0,16
97,01/02/21,706,10187.0,10188.0,10187.0,10188.0,20
98,01/02/21,707,10188.0,10188.0,10188.0,10188.0,34
99,01/02/21,710,10188.0,10188.0,10188.0,10188.0,1
100,01/02/21,711,10188.0,10188.0,10188.0,10188.0,1
101,01/02/21,712,10190.0,10190.0,10190.0,10190.0,5
102,01/02/21,713,10190.0,10190.0,10190.0,10190.0,3
103,01/02/21,714,10190.0,10190.0,10190.0,10190.0,3
104,01/02/21,716,10190.0,10190.0,10189.0,10190.0,20
105,01/02/21,717,10190.0,10200.0,10190.0,10200.0,7
106,01/02/21,718,10200.0,10200.0,10200.0,10200.0,1
107,01/02/21,721,10200.0,10200.0,10149.0,10149.0,209
108,01/02/21,722,10148.0,10150.0,10148.0,10148.0,7
109,01/02/21,723,10123.0,10124.0,10122.0,10124.0,47
110,01/02/21,724,10126.0,10126.0,10126.0,10126.0,46
111,01/02/21,725,10146.0,10150.0,10146.0,10150.0,48
112,01/02/21,726,10150.0,10150.0,10150.0,10150.0,105
113,01/02/21,728,10182.0,10182.0,10182.0,10182.0,1
114,01/02/21,730,10182.0,10182.0,10182.0,10182.0,1
115,01/02/21,732,10182.0,10182.0,10182.0,10182.0,4
116,01/02/21,733,10170.0,10199.0,10151.0,10171.0,14
117,01/02/21,734,10172.0,10172.0,10171.0,10171.0,3
118,01/02/21,736,10171.0,10171.0,10171.0,10171.0,1
119,01/02/21,738,10171.0,10195.0,10162.0,10195.0,3
120,01/02/21,739,10194.0,10219.0,10194.0,10219.0,2
121,01/02/21,740,10219.0,10219.0,10196.0,10196.0,9
122,01/02/21,741,10214.0,10217.0,10214.0,10217.0,10
123,01/02/21,742,10217.0,10217.0,10217.0,10217.0,5
124,01/02/21,744,10217.0,10217.0,10217.0,10217.0,15
125,01/02/21,747,10209.0,10209.0,10209.0,10209.0,2
126,01/02/21,749,10215.0,10215.0,10209.0,10212.0,52
127,01/02/21,750,10209.0,10209.0,10209.0,10209.0,12
128,01/02/21,752,10215.0,10219.0,10215.0,10219.0,5
129,01/02/21,753,10219.0,10219.0,10215.0,10215.0,12
130,01/02/21,754,10215.0,10215.0,10215.0,10215.0,4
131,01/02/21,755,10211.0,10211.0,10209.0,10209.0,26
132,01/02/21,756,10205.0,10205.0,10205.0,10205.0,3
133,01/02/21,757,10205.0,10205.0,10205.0,10205.0,3
134,01/02/21,758,10205.0,10205.0,10205.0,10205.0,15
135,01/02/21,759,10206.0,10206.0,10206.0,10206.0,1
136,01/02/21,760,10206.0,10206.0,10206.0,10206.0,1
137,01/02/21,761,10206.0,10206.0,10206.0,10206.0,1
138,01/02/21,762,10209.0,10209.0,10209.0,10209.0,2
139,01/02/21,763,10215.0,10215.0,10209.0,10209.0,4
140,01/02/21,764,10209.0,10209.0,10206.0,10206.0,10
141,01/02/21,765,10213.0,10213.0,10211.0,10211.0,40
142,01/02/21,766,10213.0,10213.0,10210.0,10210.0,10
143,01/02/21,767,10210.0,10210.0,10210.0,10210.0,20
144,01/02/21,768,10210.0,10210.0,10210.0,10210.0,1
145,01/02/21,769,10210.0,10210.0,10210.0,10210.0,3
146,01/02/21,773,10211.0,10211.0,10211.0,10211.0,12
147,01/02/21,774,10210.0,10210.0,10210.0,10210.0,5
148,01/02/21,775,10210.0,10210.0,10210.0,10210.0,2
149,01/02/21,778,10211.0,10211.0,10211.0,10211.0,1
150,01/02/21,779,10211.0,10211.0,10211.0,10211.0,1
151,01/02/21,784,10215.0,10215.0,10215.0,10215.0,8
152,01/02/21,785,10214.0,10215.0,10214.0,10215.0,20
153,01/02/21,786,10215.0,10221.0,10215.0,10221.0,3
154,01/02/21,787,10223.0,10223.0,10223.0,10223.0,1
155,01/02/21,788,10223.0,10223.0,10223.0,10223.0,1
156,01/02/21,789,10223.0,10223.0,10211.0,10211.0,4
157,01/02/21,790,10222.0,10222.0,10222.0,10222.0,2
158,01/02/21,791,10220.0,10220.0,10220.0,10220.0,2
159,01/02/21,792,10212.0,10212.0,10212.0,10212.0,2
160,01/02/21,794,10213.0,10213.0,10213.0,10213.0,1
161,01/02/21,795,10230.0,10230.0,10229.0,10230.0,10
162,01/02/21,796,10230.0,10230.0,10230.0,10230.0,1
163,01/02/21,797,10230.0,10230.0,10230.0,10230.0,1
164,01/02/21,798,10230.0,10230.0,10230.0,10230.0,11
165,01/02/21,799,10230.0,10230.0,10230.0,10230.0,6
166,01/02/21,800,10230.0,10230.0,10230.0,10230.0,1
167,01/02/21,803,10230.0,10230.0,10229.0,10230.0,4
168,01/02/21,804,10230.0,10230.0,10230.0,10230.0,1
169,01/02/21,805,10230.0,10230.0,10230.0,10230.0,1
170,01/02/21,806,10230.0,10230.0,10227.0,10227.0,2
171,01/02/21,807,10215.0,10215.0,10210.0,10210.0,140
172,01/02/21,814,10226.0,10232.0,10226.0,10232.0,3
173,01/02/21,818,10232.0,10232.0,10232.0,10232.0,8
174,01/02/21,821,10235.0,10238.0,10235.0,10237.0,94
175,01/02/21,822,10237.0,10238.0,10237.0,10238.0,116
176,01/02/21,823,10232.0,10232.0,10230.0,10230.0,23
177,01/02/21,824,10230.0,10230.0,10226.0,10226.0,8
178,01/02/21,825,10220.0,10220.0,10210.0,10210.0,10
179,01/02/21,830,10211.0,10211.0,10211.0,10211.0,1
180,01/02/21,832,10235.0,10235.0,10235.0,10235.0,6
181,01/02/21,833,10230.0,10230.0,10230.0,10230.0,1
